Date,z1,z2,z3,z4
2002-10-09,0.023523591,-0.0008496456,0.038975295,-0.0018856302
2002-10-10,0.022751478,-0.00080584735,0.039511696,-0.0018370785
2002-10-11,0.022293491,-0.0006669462,0.0399366,-0.0018207282
2002-10-14,0.021855062,-0.00048190355,0.039578527,-0.0018048659
2002-10-15,0.021406604,-0.00013884157,0.038502995,-0.001798192
2002-10-16,0.020757673,0.0003841482,0.03682579,-0.001791738
2002-10-17,0.019833066,0.0010721684,0.034621112,-0.0017888751
2002-10-18,0.018496223,0.0020681582,0.03168533,-0.0017921142
2002-10-21,0.017003903,0.003674779,0.028368901,-0.0017750971
2002-10-22,0.015490242,0.00567279,0.024884317,-0.0017372761
2002-10-23,0.014313891,0.0078657195,0.0215112,-0.0016821288
2002-10-24,0.013394379,0.010089837,0.018236771,-0.0015911013
2002-10-25,0.012748662,0.012414888,0.015038502,-0.0014833305
2002-10-28,0.012198367,0.014753319,0.011882958,-0.0013654921
2002-10-29,0.011826866,0.017061071,0.008844233,-0.0012544617
2002-10-30,0.011461632,0.019324755,0.0057283724,-0.0011586361
2002-10-31,0.011057808,0.0215597,0.0026380299,-0.001056863
2002-11-01,0.010646646,0.023723282,-0.00038279686,-0.00095066614
2002-11-04,0.010155187,0.025679141,-0.003061804,-0.000837896
2002-11-05,0.009605538,0.027277235,-0.005254266,-0.00072935224
2002-11-06,0.009056535,0.028412348,-0.0067299223,-0.0006518811
2002-11-07,0.008632761,0.02914682,-0.0075079044,-0.0006201286
2002-11-08,0.008403108,0.029518053,-0.0076705655,-0.0006395001
2002-11-11,0.008516071,0.029668648,-0.007397509,-0.0007426683
2002-11-12,0.008786132,0.029771212,-0.0070470264,-0.0008615758
2002-11-13,0.009235555,0.029810734,-0.006715781,-0.0009908956
2002-11-14,0.0097820535,0.029812649,-0.006462748,-0.0011177827
2002-11-15,0.010408629,0.029694166,-0.0061380723,-0.0012490526
2002-11-18,0.011056117,0.029437846,-0.0058070747,-0.0013756137
2002-11-19,0.011735022,0.028913558,-0.0052776253,-0.001502784
2002-11-20,0.012366518,0.028201858,-0.0045727277,-0.0016362295
2002-11-21,0.013027306,0.027239233,-0.0035365233,-0.0017937943
2002-11-22,0.013600697,0.026269415,-0.0025310079,-0.0019290578
2002-11-25,0.014076069,0.02531966,-0.0015682848,-0.0020448118
2002-11-26,0.014435304,0.024465784,-0.00072453637,-0.002129117
2002-11-27,0.014781641,0.023645394,0.00017292518,-0.0022151526
2002-11-28,0.015151209,0.022912625,0.0010837018,-0.0023085605
2002-11-29,0.015558221,0.022174813,0.0021805903,-0.0024146568
2002-12-02,0.01599769,0.02142514,0.003443393,-0.0025401935
2002-12-03,0.016432557,0.020627592,0.0049408935,-0.002693599
2002-12-04,0.016849805,0.019938765,0.0064024096,-0.0028409418
2002-12-05,0.017195059,0.019288633,0.007851095,-0.0029732082
2002-12-06,0.017473591,0.018727921,0.009153171,-0.0030794665
2002-12-09,0.017708283,0.018246954,0.010385613,-0.0031791143
2002-12-10,0.018005686,0.017805453,0.011591812,-0.0032758825
2002-12-11,0.01833159,0.017299304,0.012930569,-0.0033681523
2002-12-12,0.018614646,0.016753215,0.014294538,-0.003447881
2002-12-13,0.019004395,0.016160086,0.016045447,-0.003505217
2002-12-16,0.019426614,0.015511684,0.01801512,-0.0035164896
2002-12-17,0.019902928,0.014786713,0.020256318,-0.0034823772
2002-12-18,0.020344533,0.014068514,0.022553798,-0.0034177825
2002-12-19,0.02084935,0.013305176,0.025108136,-0.003328342
