Date,Open,High,Low,Close,Volume
2004-03-22,8610.2998,8643.0996,8546.5996,8561.5,0
2004-03-23,8561.9004,8592.0996,8553.5996,8562.9004,0
2004-03-24,8563.2998,8726.5996,8545.2998,8707.2002,0
2004-03-25,8707.5,8720.7998,8517.0,8711.7998,0
2004-03-26,8710.7998,8717.5996,8514.0,8717.5996,0
2004-03-29,8725.5,8752.2002,8499.0,8688.2002,0
2004-03-30,8689.5996,8697.0996,8505.0,8676.0996,0
2004-03-31,8677.0996,8682.5,8464.0,8585.5,0
2004-04-01,8585.9004,8614.5996,8485.0,8549.4004,0
2004-04-02,8548.4004,8720.5,8473.0,8716.0996,0
2004-04-05,8725.5,8806.5996,8495.0,8799.2002,0
2004-04-06,8799.2002,8814.5996,8541.2002,8714.0,0
2004-04-07,8714.7002,8751.5,8560.2998,8584.0,0
2004-04-08,8585.0996,8604.2998,8486.0,8597.5996,0
2004-04-09,8597.9004,8604.0,8573.4004,8591.9004,0
2004-04-12,8587.2998,8611.5,8583.4004,8601.7998,0
2004-04-13,8601.5,8608.2998,8493.0,8593.2002,0
2004-04-14,8597.2002,8612.9004,8504.0,8610.7002,0
2004-04-15,8610.7002,8638.4004,8533.0,8623.0996,0
2004-04-16,8622.4004,8644.7998,8520.0,8609.7998,0
2004-04-19,8600.9004,8611.7998,8504.0,8606.7998,0
2004-04-20,8622.4004,8675.4004,8513.0,8660.7002,0
2004-04-21,8660.0,8677.2002,8548.0,8676.5996,0
2004-04-22,8673.7002,8683.2002,8549.0,8624.9004,0
2004-04-23,8625.5996,8648.0996,8521.0,8608.5,0
2004-04-26,8650.5,8675.7998,8527.0,8611.5996,0
2004-04-27,8610.9004,8631.0,8603.7002,8625.2998,0
2004-04-28,8626.7002,8693.4004,8541.0,8681.7002,0
2004-04-29,8682.4004,8705.5,8574.0,8694.9004,0
2004-04-30,8696.7002,8709.7002,8647.5,8665.5,0
2004-05-03,8657.9004,8707.2998,8655.0996,8700.4004,0
2004-05-04,8699.7002,8722.0996,8605.2002,8698.0996,0
2004-05-05,8698.0996,8712.7002,8669.7998,8690.7002,0
2004-05-06,8690.4004,8709.0,8682.0,8702.4004,0
2004-05-07,8704.2002,8845.4004,8699.9004,8803.2002,0
2004-05-10,8790.5996,8993.2998,8790.5996,8980.4004,0
2004-05-11,8978.9004,8998.0996,8874.0,8964.7998,0
2004-05-12,8965.9004,8995.4004,8850.0,8903.5996,0
2004-05-13,8903.2002,9010.0996,8883.4004,8994.9004,0
2004-05-14,8994.9004,9056.5996,8835.0,9031.0996,0
2004-05-17,9020.5,9030.2998,8957.2002,8989.9004,0
2004-05-18,8984.7002,9081.5996,8975.0,9052.4004,0
2004-05-19,9050.9004,9061.9004,8950.0,9046.5996,0
2004-05-20,9048.0996,9061.0,9004.5996,9013.5996,0
2004-05-21,9013.5996,9077.7998,8997.7998,9042.2998,0
2004-05-24,9050.9004,9120.7002,9008.0,9114.5,0
2004-05-25,9116.0,9310.4004,9094.4004,9255.2998,0
2004-05-26,9255.7002,9276.5,9170.0,9247.5996,0
2004-05-27,9246.9004,9308.4004,9217.9004,9248.0996,0
2004-05-28,9252.7002,9287.7002,9242.0,9262.0,0
2004-05-31,9249.9004,9288.2002,9246.5,9256.9004,0
2004-06-01,9258.0996,9370.7002,9252.0,9345.7998,0
2004-06-02,9347.0,9570.7998,9326.0,9458.9004,0
2004-06-03,9457.4004,9483.0,9418.7998,9442.5,0
2004-06-04,9443.7002,9488.7998,9422.2998,9455.7998,0
2004-06-07,9399.0,9399.0,9291.0,9293.5996,0
2004-06-08,9294.2998,9321.5996,9175.0,9241.5,0
2004-06-09,9241.2002,9298.7998,9185.0,9282.7002,0
2004-06-10,9280.4004,9408.0,9270.4004,9348.7002,0
2004-06-11,9349.4004,9427.7002,9275.0,9370.7998,0
2004-06-14,9428.5996,9435.2998,9315.0,9373.5996,0
2004-06-15,9374.4004,9417.4004,9315.0,9388.0996,0
2004-06-16,9387.2998,9415.9004,9363.4004,9412.5996,0
2004-06-17,9412.2002,9420.0996,9375.5996,9407.5996,0
2004-06-18,9407.2002,9436.2002,9373.2002,9388.5,0
2004-06-21,9395.5,9412.5996,9302.0,9379.9004,0
2004-06-22,9381.4004,9416.2998,9376.7998,9380.7002,0
2004-06-23,9377.5996,9426.0996,9329.0,9419.5996,0
2004-06-24,9418.7998,9450.0996,9377.9004,9397.5,0
2004-06-25,9399.7998,9427.2002,9379.9004,9379.9004,0
2004-06-28,9434.4004,9449.9004,9320.0,9420.0,0
2004-06-29,9419.2998,9432.7998,9305.0,9398.0,0
2004-06-30,9400.0,9414.2998,9285.0,9409.0996,0
2004-07-01,9410.5996,9426.9004,9230.0,9302.5,0
2004-07-02,9301.4004,9311.0,9053.7998,9121.7998,0
2004-07-05,9115.2002,9153.9004,9113.4004,9139.0996,0
2004-07-06,9137.9004,9146.0996,8930.0,9000.7002,0
2004-07-07,9000.0,9021.7998,8967.4004,8993.5,0
2004-07-08,8993.5,9007.4004,8888.0,8977.0996,0
2004-07-09,8977.4004,8996.0996,8825.0,8880.7002,0
2004-07-12,8891.7998,8909.7998,8740.0,8791.5,0
2004-07-13,8792.5,8939.2998,8789.0,8929.7002,0
2004-07-14,8931.2002,8999.2998,8909.7002,8964.0,0
2004-07-15,8964.7002,8997.5,8926.0,8962.0,0
2004-07-16,8960.9004,8978.7002,8803.0,8901.7002,0
2004-07-19,8902.7998,8964.4004,8820.0,8950.4004,0
2004-07-20,8951.4004,8995.0996,8942.4004,8975.7998,0
2004-07-21,8975.0,9023.2998,8973.9004,9000.2998,0
2004-07-22,9001.7998,9082.0,8988.0,9037.5996,0
2004-07-23,9037.5996,9088.5996,9006.7002,9083.0,0
2004-07-26,9064.0996,9137.9004,9040.0,9133.5,0
2004-07-27,9134.5996,9140.2002,8972.0,9066.7998,0
2004-07-28,9066.0,9139.2002,9057.7998,9115.5,0
2004-07-29,9114.7002,9188.0,9085.0,9173.5,0
2004-07-30,9173.9004,9184.5,9087.7002,9141.5,0
2004-08-02,9111.5996,9145.4004,9091.5996,9141.4004,0
2004-08-03,9143.0,9180.7002,9128.9004,9168.0996,0
2004-08-04,9167.7002,9235.0,9162.7002,9194.2998,0
2004-08-05,9193.2002,9202.4004,9073.0,9178.7998,0
2004-08-06,9178.4004,9201.5,9044.4004,9140.4004,0
2004-08-09,9204.2002,9206.5,9146.7002,9171.9004,0
2004-08-10,9169.2998,9223.9004,9105.0,9200.5,0
2004-08-11,9199.0,9268.0,9152.0,9257.0996,0
2004-08-12,9258.5996,9259.2998,9158.0,9248.2002,0
2004-08-13,9248.9004,9290.7002,9155.0,9238.2002,0
2004-08-16,9236.4004,9292.4004,9236.4004,9278.9004,0
2004-08-17,9278.0996,9292.4004,9252.5996,9282.4004,0
2004-08-18,9282.4004,9288.4004,9247.9004,9254.5996,0
2004-08-19,9253.0996,9276.0996,9153.0,9234.4004,0
2004-08-20,9234.0,9240.2998,9140.0,9211.5,0
2004-08-23,9226.4004,9300.2002,9165.0,9280.4004,0
