Date,Open,High,Low,Close,Volume
2008-08-05,2227.675,2227.675,2153.731,2185.6189,19818200
2008-08-06,2206.5271,2208.458,2172.333,2187.2041,22132100
2008-08-07,2189.043,2199.011,2180.613,2199.011,15035600
2008-08-08,2201.2549,2210.1179,2184.293,2195.926,13543000
2008-08-11,2198.5229,2198.5229,2124.293,2133.9199,18788600
2008-08-12,2121.3879,2126.7271,2042.504,2057.5791,18932400
2008-08-13,2036.01,2077.0701,2035.5909,2063.521,16838500
2008-08-14,2088.9871,2106.6421,2077.3159,2106.6421,19823900
2008-08-15,2086.7561,2100.4009,2067.5901,2085.1479,14896300
2008-08-19,2060.635,2080.1379,2036.71,2042.498,11833200
2008-08-20,2062.6421,2072.615,2055.3989,2069.698,16666800
2008-08-21,2079.7451,2098.9319,2078.4829,2088.251,18068300
2008-08-22,2117.897,2127.2109,2109.449,2120.491,22913300
2008-08-25,2111.397,2127.2241,2097.5559,2127.2241,12099700
2008-08-26,2105.4351,2119.4231,2099.5581,2107.5481,15716200
2008-08-27,2113.312,2131.063,2113.312,2131.063,17747500
2008-08-28,2142.8049,2154.321,2136.1411,2144.8479,16326900
2008-08-29,2154.96,2165.9431,2140.856,2165.9431,12641800
2008-09-01,2157.0229,2168.801,2138.783,2164.6201,12467000
2008-09-02,2149.74,2159.052,2127.718,2159.052,18541900
2008-09-03,2151.2219,2151.7629,2114.5371,2116.0,14999600
2008-09-04,2100.2549,2100.2549,2058.158,2075.2339,15384800
2008-09-05,2020.123,2036.141,1999.5341,2022.564,16556700
2008-09-08,2078.3049,2078.3049,2033.807,2037.998,14843900
2008-09-09,2019.816,2019.816,1945.776,1958.752,18336900
2008-09-10,1902.771,1928.626,1869.996,1885.043,29410300
2008-09-11,1887.531,1897.4399,1848.249,1870.1331,21885000
2008-09-12,1873.4189,1873.4189,1767.249,1804.062,20370100
2008-09-15,1777.999,1791.1,1701.589,1719.254,22296600
2008-09-16,1628.163,1735.636,1592.243,1735.636,37962300
2008-09-17,1773.256,1787.004,1745.802,1769.894,28110200
2008-09-18,1710.271,1787.673,1709.407,1787.673,33240800
2008-09-19,1841.432,1923.244,1840.7159,1891.7321,49933800
2008-09-22,1931.516,1934.1219,1890.373,1897.342,27029200
2008-09-23,1872.978,1905.219,1867.558,1873.1,19570700
2008-09-24,1857.547,1888.077,1856.577,1883.551,28468700
2008-09-25,1876.924,1876.924,1860.8199,1870.061,22408500
2008-09-26,1864.574,1865.407,1825.214,1846.0909,16135700
2008-10-06,1766.9351,1766.9351,1634.545,1648.739,31611000
2008-10-07,1614.7469,1651.031,1603.98,1619.7209,29609500
2008-10-08,1565.022,1565.738,1451.6689,1451.6689,10771000
2008-10-13,1361.6169,1468.587,1360.412,1461.873,26123600
2008-10-14,1528.723,1561.085,1528.723,1555.967,20979500
2008-10-15,1562.668,1599.8311,1510.952,1520.407,15962500
2008-10-16,1442.734,1477.568,1439.2111,1463.251,11549400
2008-10-17,1467.467,1467.467,1391.271,1399.424,16902900
2008-10-20,1394.606,1441.1479,1377.7841,1426.938,11039400
2008-10-21,1462.71,1469.3621,1427.1169,1440.149,27583300
2008-10-22,1422.451,1426.285,1369.229,1379.743,11157100
2008-10-23,1327.027,1337.204,1313.27,1337.204,10572600
2008-10-24,1306.767,1306.767,1239.291,1244.864,12282200
2008-10-27,1185.5551,1185.5551,1157.198,1166.4091,8601400
2008-10-28,1119.116,1131.7581,1089.34,1111.39,18479600
2008-10-29,1146.53,1146.53,1097.193,1113.624,19635400
2008-10-30,1143.1121,1180.028,1140.6801,1173.863,34105500
2008-10-31,1186.522,1258.976,1186.522,1256.704,31252700
2008-11-03,1281.5081,1367.4041,1281.5081,1352.7159,33289000
2008-11-04,1358.322,1378.554,1328.2629,1369.785,35524400
2008-11-05,1388.624,1430.717,1357.709,1366.275,24766300
2008-11-06,1303.302,1316.58,1292.45,1307.897,11278700
2008-11-07,1273.308,1338.36,1270.6021,1338.36,22403900
