Date,Open,High,Low,Close,Volume
2007-02-14,2836.8191,2915.063,2823.3821,2905.093,94000
2007-02-15,2923.666,2994.6221,2923.666,2993.0081,108800
2007-02-16,3018.1799,3036.3459,2975.8269,2998.4741,118000
2007-02-26,2999.0859,3041.3359,2960.7451,3040.5991,112000
2007-02-27,3048.8291,3049.771,2763.395,2771.791,161400
2007-02-28,2734.595,2888.8989,2732.884,2881.073,121400
2007-03-01,2877.2029,2878.355,2760.9121,2797.1899,127400
2007-03-02,2792.9409,2846.158,2777.7959,2831.5259,94000
2007-03-05,2827.675,2858.4409,2723.0649,2785.3059,107000
2007-03-06,2776.167,2866.332,2756.9609,2840.175,77000
2007-03-07,2851.7471,2911.416,2849.6479,2896.594,88000
2007-03-08,2904.1851,2928.803,2871.4641,2928.0149,89000
2007-03-09,2934.4929,2962.4209,2891.814,2937.9099,107200
2007-03-12,2945.9231,2958.6321,2904.7439,2954.9141,101600
2007-03-13,2958.0959,2966.1941,2932.2339,2964.7939,107200
2007-03-14,2933.679,2934.4541,2868.8069,2906.334,113800
2007-03-15,2905.9761,2955.4619,2905.9761,2951.698,101800
2007-03-16,2964.094,2979.708,2899.032,2930.481,122600
2007-03-19,2864.2561,3037.999,2852.8579,3014.4419,110000
2007-03-20,3024.781,3033.02,2998.804,3032.1951,92800
2007-03-21,3042.0979,3057.71,3020.949,3057.3799,99200
2007-03-22,3080.6021,3099.8191,3059.3811,3071.2251,126000
2007-03-23,3071.8081,3085.324,3008.1541,3074.2859,118600
2007-03-26,3083.938,3123.179,3069.4729,3122.811,122600
2007-03-27,3126.0249,3145.0439,3103.7791,3138.8259,124600
2007-03-28,3140.6799,3180.332,3052.0779,3173.0181,167200
2007-03-29,3179.803,3273.7271,3176.5259,3197.5371,149600
2007-03-30,3178.4961,3212.3889,3157.03,3183.9829,89400
2007-04-02,3196.5869,3253.4351,3196.5869,3252.595,97400
2007-04-03,3265.676,3292.5779,3251.5229,3291.2991,108600
2007-04-04,3295.9761,3308.1479,3266.5591,3291.542,112600
2007-04-05,3286.1631,3326.916,3259.626,3319.1399,114600
2007-04-06,3287.6841,3334.2241,3273.855,3323.585,119600
2007-04-09,3333.4221,3399.5149,3333.262,3398.95,137400
2007-04-10,3405.2329,3444.374,3351.105,3444.291,147800
2007-04-11,3454.417,3497.52,3428.782,3495.2241,147600
2007-04-12,3503.2271,3532.8621,3488.0769,3531.0291,135400
2007-04-13,3537.22,3563.856,3504.1609,3518.2671,150600
2007-04-16,3523.217,3597.2151,3523.217,3596.4409,131000
2007-04-17,3611.6299,3622.8879,3510.498,3611.8701,160600
2007-04-18,3614.678,3623.8669,3564.23,3612.396,150400
2007-04-19,3610.0239,3617.438,3358.9299,3449.0161,172800
2007-04-20,3460.9041,3591.4609,3460.9041,3584.2041,138800
2007-04-23,3615.7891,3710.886,3615.7891,3710.886,163400
2007-04-24,3736.1541,3762.3879,3689.134,3720.532,174400
2007-04-25,3708.571,3769.2471,3653.989,3743.959,151800
2007-04-26,3766.4761,3784.6799,3732.6011,3783.063,117200
2007-04-27,3788.748,3802.9231,3720.5959,3759.8669,132200
2007-04-30,3784.272,3851.3501,3759.48,3841.272,146600
2007-05-08,3937.938,3964.7141,3901.3259,3950.011,160600
2007-05-09,3961.103,4015.219,3875.384,4013.085,208400
2007-05-10,4021.4221,4072.1379,3991.4771,4049.7009,171200
2007-05-11,4024.4221,4039.668,3949.3679,4021.678,140600
2007-05-14,3970.6609,4081.426,3940.3579,4046.3921,139400
2007-05-15,4055.834,4069.8459,3891.363,3899.178,156600
2007-05-16,3890.8091,3987.405,3845.2271,3986.043,131800
2007-05-17,4002.4851,4064.283,3982.9951,4048.293,139200
2007-05-18,4041.3899,4052.0969,3999.165,4030.2581,130800
2007-05-21,3902.3469,4083.416,3892.9751,4072.2251,156200
2007-05-22,4091.1431,4136.6299,4086.825,4110.3789,173600
2007-05-23,4125.4258,4175.4438,4093.915,4173.709,161400
2007-05-24,4188.6758,4208.3882,4089.385,4151.1328,181000
2007-05-25,4133.1919,4190.4692,4111.2612,4179.7759,154200
2007-05-28,4221.5781,4283.9302,4215.2432,4272.1108,178600
2007-05-29,4288.98,4335.9629,4262.0239,4334.9238,172000
2007-05-30,4087.405,4275.2368,4015.512,4053.0879,185600
2007-05-31,4006.28,4178.1069,3858.04,4109.6538,173200
2007-06-01,4120.627,4181.2788,3966.9771,4000.7419,161000
2007-06-04,3981.8169,3987.269,3659.0891,3670.4009,114800
2007-06-05,3564.4331,3768.563,3404.146,3767.1011,157200
2007-06-06,3781.375,3821.697,3682.7939,3776.3169,145800
2007-06-07,3787.7019,3891.4031,3779.5,3890.803,142400
2007-06-08,3900.0271,3935.7859,3852.0449,3913.135,135800
2007-06-11,3942.0049,4000.416,3930.74,3995.6799,133800
2007-06-12,4011.679,4073.1809,3910.001,4072.1379,149400
